Link,FirstAuthor,Year,ExperimentNum,Task,PubType,StimType,AnLoc,CathLoc,ReturnSide,StimLaterality,FocalSize,ReturnSize,StimDur,StimIntensity,Online/Offline,Targeting,Gender,Handedness,MeanAge,SDAge,Design,TaskLaterality,Domain,ChangeScore,TotalN,ActiveStimN,ShamN,ESDir,ES,ActiveStimMean,ActiveStimSD,ActiveStimSE,ShamMean,ShamSD,ShamSE,ShamCIUpper,ActiveStimCIUpper,MeanDiff,PooledSE,PooledSD,Fval,Fdf,t,p,Exactp,Unit,Graph,GraphUsed,Contact
http://www.sciencedirect.com/science/article/pii/S0028393216301014,Aboulafia-Brakha,2016,1,Affective Flexibility - Emotion,J,A,1,9,C,U,35,35,25,1.5,1,N,46.67,N,27.16,6.7,B,,S,N,30,15,15,1,999,-3.580246914,999,3.456790123,7.530864198,999,3.827160494,999,999,999,999,999,999,999,999,999,999,Switch Cost,Y,Y,N
http://www.sciencedirect.com/science/article/pii/S0028393216301014,Aboulafia-Brakha,2016,1,Affective Flexibility - Emotion,J,A,2,9,C,U,35,35,25,1.5,1,N,46.67,N,27.16,6.7,B,,S,N,30,15,15,-1,999,35.18518519,999,3.456790123,7.530864198,999,3.827160494,999,999,999,999,999,999,999,999,999,999,Switch Cost,Y,Y,N
http://www.sciencedirect.com/science/article/pii/S0028393216301014,Aboulafia-Brakha,2016,1,Affective Flexibility - Gender,J,A,1,9,C,U,35,35,25,1.5,1,N,46.67,N,27.16,6.7,B,,S,N,30,15,15,-1,999,18.64197531,999,2.469135802,-6.666666667,999,3.333333333,999,999,999,999,999,999,999,999,999,999,Switch Cost,Y,Y,N
http://www.sciencedirect.com/science/article/pii/S0028393216301014,Aboulafia-Brakha,2016,1,Affective Flexibility - Gender,J,A,2,9,C,U,35,35,25,1.5,1,N,46.67,N,27.16,6.7,B,,S,N,30,15,15,1,999,-10.98765432,999,2.716049383,-6.666666667,999,3.333333333,999,999,999,999,999,999,999,999,999,999,Switch Cost,Y,Y,N
https://www.ncbi.nlm.nih.gov/pubmed/26342062,Blumberg,2015,,TS,J,A,1,8,C,U,11,11,30,2,1,N,36.7,R,20,999,B,,S,Y,15,8,7,1,1.96,-11.8,999,1.6,-2.7,999,1.8,999,999,999,999,999,999,999,3.5,<.05,0.05,Resumption Lag,N,,N
https://www.ncbi.nlm.nih.gov/pubmed/26342062,Blumberg,2015,,TS,J,A,2,8,C,U,11,11,30,2,1,N,36.7,R,20,999,B,,S,Y,15,8,7,1,2.05,-12.2,999,1.6,-2.7,999,1.8,999,999,999,999,999,999,999,3.8,<.05,0.05,Resumption Lag,N,,N
http://www.jneurosci.org/content/36/4/1429.short,Bogdanov,2016,,Corsi Block,J,A,2,7,M,U,25,100,999,1.075,1,N,50,N,25.2,0.31,B,,U,N,40,20,20,1,999,6.05,999,0.46,5.9,999,0.37,999,999,999,999,999,999,999,999,999,999,Performance,N,,N
http://www.jneurosci.org/content/36/4/1429.short,Bogdanov,2016,,Corsi Block,J,C,2,7,M,U,25,100,999,1.075,1,N,50,N,25.2,0.31,B,,U,,40,20,20,1,999,6.25,999,0.41,5.9,999,0.37,999,999,999,999,999,999,999,999,999,999,Performance,N,,N
http://www.jneurosci.org/content/36/4/1429.short,Bogdanov,2016,,Digit Span,J,A,2,7,M,U,25,100,999,1.075,1,N,50,N,25.2,0.31,B,,U,,40,20,20,1,999,4.25,999,0.44,3.1,999,0.44,999,999,999,999,999,999,999,999,999,999,Performance,N,,N
http://www.jneurosci.org/content/36/4/1429.short,Bogdanov,2016,,Digit Span,J,C,2,7,M,U,25,100,999,1.075,1,N,50,N,25.2,0.31,B,,U,,40,20,20,1,999,4.25,999,0.66,3.1,999,0.44,999,999,999,999,999,999,999,999,999,999,Performance,N,,N
https://www.ncbi.nlm.nih.gov/pubmed/25550147,Carvalho,2015,1,N-back,J,A,1,9,C,U,35,35,20,1,1,N,20,R,20.2,2.7,W,,U,,15,15,15,1,999,74.666,999,3.59,64,999,3.838,999,999,999,999,999,8.76,2,999,999,999,Accuracy,N,,N
https://www.ncbi.nlm.nih.gov/pubmed/17553993,Fectau,2007,1,Stroop,J,A,1,9,C,U,35,35,20,2,1,N,8.33,N,21.7,2.7,B,,I,,15,10,5,-1,999,7.15661104,999,0.288831836,5.898587933,999,0.372272144,999,999,999,999,999,999,999,999,999,999,Incongruent RT,Y,Y,N
